topic,count
all suffer from extreme poverty.,1
film tackles the life story of muhammad ali pasha,1
the wali (ruler) of egypt in the era between 1805 and 1820. the film starts with the coming of muhammad ali from his hometown kavala to egypt as part of an ottoman expedition to evict the french from egypt.,1
this film reopens the case of busleem massacre after years of neglect. it addresses all the aspects of this massacre including political,1
humanitarian and legal aspects.,1
the film deals with the importance of the militant women in the history of women's resistance in morocco for the first time we address the role of women in the national action in morocco after he was monopolized by men only . the film tries to address the issue through the militant khdug slimani where stands behind its manifestations and all the historical events associated with them in addition to the most important social and humanitarian achievements and the film is a re,1
consideration of the history of the moroccan resistance especially in smaller areas neglected by history are originally regions played crucial roles in the independence,1
"the film talks about the tribe of ""bodool""",1
which they live in petra,1
a city south of jordan.  the film narrates their story as a new generation from the fist nabataeas  and how they feel very proud of their origin despite their lifestyle which depends mainly on tourism.,1
in kosovo,1
there are albanians and serbs,1
but in the life of the obese it becomes difficulties the society puts in their way. however,1
which to some people may seem marginal,1
"not them. in the film ""obese"" we get to know them and approach to the details of everyone’s life",1
driss benzakri is a moroccan human right activist whose bravery and courage positions have made him internationally famous. benzakri was imprisoned and tortured for years and despite that,1
in this film we take a look at humans that we might have seen before,1
their tanned skin,1
hazel eyes,1
long tangled hair with combs hidden inside while they recite poetry and drink coffee. we get to know them,1
their traditions and customs. are they arabs? africans? are they descendents of the early pharaohs. or are they the kings of gold which the pharaohs built their temples with? they are the soldiers that stood with al mahdi during his revolution,1
they are the sailors of the desert that know its routes and tracks. they are the beja,1
who are living amongst us but we don’t know them.,1
the cold camp portrays the daily life of palestinian refugees who escaped from al bared camps in tripoli because of the clash between the lebanese army and palestinians fraction called “ fath al islam” in 2007. the film focuses on these innocent civilians who were obliged to leave their home after demolishing their camp. it consists of expressive pictures and interviews with witnesses who immigrate to baddawi camp in worst situation. stories of civilians being regrouped with their families in small and inappropriate locations. stories of forgotten refugees.,1
he continued his struggle to promote justice in marocco by leading the justice and conciliation committee. this documentary focuses on the life of benzakri as a person and as human right activist,1
documentary tells the history of theater movement in palestine and jordon and how it affected by the resistance and struggle in palestine and how it became a culture and art of life,1
as well as his struggle against cancer. driss never gave up promoting justice and human right and all everybody recognizes his struggle and sincerity.,1
on the banks of the tigris and the euphrates,1
was born movement play exclusively by the state of iraq from other arab countries where he was able lovers of theater and loved ones to put the foundation stone for the life of the play began in the late eighteenth century through the churches and monasteries,1
"evolved theatrical movement to intervene in the establishment phase by the artist ""haqqi al",1
shibli,1
""" and then launched theatrical activity at a rapid pace at the hands of the early pioneers",1
and on the other hand,1
had the iraqi theater in isolation witnessed iraq wars and destruction,1
woman and youth. it highlights their ways of lives during this month characterized by some kind of sorrow and lack of family warmth.,1
nursing houses and jails. this documentary focuses in three people who represent those categories of men,1
namely in hospitals,1
certain categories of people don’t share the common atmosphere and way of life during this sacred month,1
and taatmas with this phenomenon it has become one of the most important political events that give rise to events and decisions and transactions,1
claims,1
is a kind of community creativity phenomenon in light of the political and security strictures.,1
the documentary deals with forms and manifestations of prepping for the month of ramadan at the level of the drama side,1
which frequently presented during the holy month in the series and works of art filled with the arab screens,1
through approaching one of those ramadan drama makers and to experience how it is preparing for the month and how elect the business and the factors that interfere until he graduated business dramatic image that we see on the screens in the end .,1
the documentary deals with forms and manifestations of prepping for the month of ramadan at the level of lyrical side to be offered during the holy month in concerts and evenings technical and ramadan tents,1
