topic,count
"يحكي الفيلم قصّة ""بعلبك ""مدينة الشمس التي غنت لها و فيها فيروز و أم كلثوم  و التي  تحتضن أكبر قلعة رومانية في العالم، وتكتنز على سطحها وفي باطنها آثار حضارات كثيرة مرت عليها. حتى صارت الآن حاضنة لأبناء طوائف مختلفة ولمثقفين  ومتعلمين ولتجار وحرفيين متنوعين.",1
العرس الشاوي ) : يستعرض الفيلم الوثائقي العرس الشاوي، بعادات وتقاليد خاصة جدا مستمدة من موروث الشاوية الشعبي، منها ما هي أقرب إلى الطقوس المعبرة عن الفرح والمجد، وأخرى مستمدة من الثورة الجزائرية. يتناول الفيلم كافة التفاصيل التي تبرز في العرس الشاوي عند أهل العروسين، من الموسيقى التراثية والرقصة الشعبية والبارود إلى الأكلات والألبسة التقليدية والحلي، كما يسلط الفيلم الضوء على حقيقة بعضٍ من موروثهم الشعبي المستند إلى أساطير قديمة لازالوا محافظين عليها. ومن إحدى القرى الشاوية يُبرز الفيلم الوثائقي مظاهر الاحتفال بأعراسهم، بالاعتماد على تحضيرات أهل العروسين إلى آخر لحظة من عرسهم، ويغوص في أسرار تلك التفاصيل البسيطة في مظهرها والضرورية في وجودها في أعراس الشاوية,1
تدور أحداث الفيلم عن طقوس العرس الدرزي وهي عبارة عن سبعة ايام يحضرون فيها الى يوم التأهيل. في يوم التأهيل يذهبون أقارب العريس واهله الى بيت اهل العروس ويأخذون العروس وعند ذلك يزمرون وسبب التزمير هو نشر العرس بين اهالي القرية، عندما يصلون الى البيت يلتقي العريس مع العروس ويلزقون الخميرة، سبب لزق الخميرة هو عاده متبعة قديماً، عند ذلك يعزمون الاقارب وسبب العزيمة نشر بأن هاذان العريسان قد تزوجا. ومن بين أبرز عادات وتقاليد الدروز في الزواج على سبيل المثال هو المهر وهو دينار مقدم وخمسمئة دينار مصاغ ذهبي وألف دينار مؤجل أو مؤخر,1
وهذه وثيقة قد اتفق عليها الدروز جميعاً مهما كانت مكانة أهل العروس أو أهل العريس ومن يخرج عن هذه الوثيقة فله عقاب اجتماعي بالمقاطعة,1
"الفيلم يأخذنا في جولة في مدينة الأقصر التاريخية من خلال بطل رئيسى وهو أحد أبناء المدينة نتعرف خلالها علي أهم معالمها التاريخية و عاداتها الاجتماعية  .رحلة تأخذنا بين  بين شطري النيل الشرقي و الغربي 
تبدأ الجولة من معبد الاقصر و مرورا بوادى الملوك و الدير البحري ثم معبد الكرنك مستعرضة أهم معالم دخول الاسلام الي مدينة طيبة مع تسليط الضوء على أهم الحرف اليدوية و المهن الموجودة في الاقصر  وعلاقة تلك المهن بالسياح كما يأخذنا الفيلم فير حلة بين أزقة ومقاهي مدينة الأقصر المليئة بالسياح.",1
قصة الفيلم هي مدينة سواكن العتيقة، والتي سنروي حكاية أسوارها وقصص أطلالها  على لسان أحد أبناءها القدامى  والذي سيطوف بنا لنتعرف على أهم معالمها ثقافية والعمرانية,1
تدور أحداث هذا الفيلم الوثائقي، حول قصة ثورة تاريخية بدأت بانتفاضة صغيرة في سنة 1957، ثم تحولت إلى حرب، قادها المقاومون المغاربة من قبائل آيت با عمران لتحرير مدينة سيدي إفني من قبضة الإحتلال الإسباني، الذي لم ينجح في تذويب رغبة و حماسة المقاومة، التي كان لها ما أرادت بانسحاب المستعمر,1
"تختلف مفاهيم الزواج وعاداته بين المجتمعات، وهذا يعود إلى اختلاف الفروقات الثقافية والتباينات الحضارية، المجتمع الأردني كغيره من المجتمعات يحتوي على مختلف المرجعيات الطبقية والثقافية والدينية وتختلف الاحتفالات من منطقة إلى أخرى، وأحياناً بين القرى في المدينة نفسها.

وسنظهر في العرس البدوي الأردني التقليد الاجتماعي الذي يدل على تآلف أفراد الجماعة وتكاتفها، كما يكشف عن اعتزاز البدو بتقاليدهم وهو اعتزاز تُحرّضُ عليه الجماعة حفاظا على تماسكها ووحدتها. وسنركز على مراحل العرس وطقوسه التي تم تناقلها جيلا بعد جيل وأصبحت سلوكا جماعيا متكررا ومتوارثا مع ما يتضمنه من معان وأفكار",1
لا تزال العديد من العائلات الفلسطينية تتمسك بالتراث الفلسطيني والعادات والتقاليد البدوية في إقامة الأعراس وأداء طقوسها،  وهو ما حفز عائلات فلسطينية غير بدوية عل,1
تتجول الكاميرا داخل احدى مدن الجنوب الليبي الساحرة ( مدينة غات )  ثم تركز على مراسم العرس التقليدي فيها من خلال تصوير و مواكبة عرس أحد شبان القرية و التجول معه و مرافقته فى كل مراحل العرس و ما تشمله من عادات و تقاليد سابقة و أخرى لاحقة .,1
