topic,count
is a slogan carried by the researcher tariq bakri from jerusalem through documentation. he is a memory keeper by connecting  the palestinian of the diaspora with their homeland many stories of the palestinian memory in his documents,1
gather the diaspora,1
being a fashion designer.,1
gafoor. he is the only hope of gafoor who can carry forward his age old tradition of rearing goats and sheep as his other sons are not interested in nomadic life anymore,1
mustafa,1
the president of a local handicap association,1
"challenges very hard conditions and stereotypes to prove that people with mental disabilities can also become productive members of the society .
with very few resources",1
and within a very tough saharan environment,1
mustafa and members of “the green path” association launches their project: training a group of mentally disabled young men to become professional farmers,1
gardeners and breeders,1
after they were considered only as “demented” .,1
the film depicts thrilling stories of moroccans in love with the indian cinema,1
we exhibit the social and artistic aspects of the film through a range of life paths,1
including those of university lecturer bouchta farqazayed,1
the man behind the interpretation of indian films and mohammed benmassaoud,1
who starred in dozens of indian clips produced with a moroccan touch,1
and other personalities that have been dazzled by the customs and traditions of the indian society. it is a moroccan unity with a distant society,1
but in fact,1
close to the hearts of film lovers drawn by the charm of indian films and their stars.,1
faced with the toughest choice of choosing between tradition and modernity suleiman,1
13 is the youngest son of 80 year old nomadic shepherd,1
filmmakers like movies and try to do anything in their field. they do not have a professional membership that allows them to take advantage of the national fund. to the rest of the directors. however,1
they do not always give up the work in order to produce a film that most probably would not be seen by anyone other than their family or friends.,1
"three moroccan girls decides to go out of the ordinary and professional riding horses. together they decide
to establish of a females cavalry team",1
which will search the village and surrounding villages for girls riding horses.,1
a colombian refugee dancer who was threatened back in his country and had to find refuge in spain. edward dreams to become a professional dancer like ahmad.,1
we follow the path of hamid krim,1
who left algeria 30 years ago and today he is a professional actor in spain. at the same time,1
we meet david from cameroon,1
who dreams to become an actor,1
but he is struggling because of his refugee status. david has been 6 years in exile.,1
we follow the path of jose valentin a refugee form venezuela who has had to flee his country 5 years ago with all his family and start a new life in spain. today he has become a professional cook and has an important project in development. at the same time,1
we meet noor zahra who also left her country of origin,1
with all her family 4 years ago. noor is trying to make a living out of cooking and dreams to be part for valentin's project.,1
monitoring cameras,1
where they face daily challenges in order to realize their dream of developing the reserve and preserving endangered animals. they dedicate their time to exhausting tours,1
suhail and haifa live in the 'bouhedma' reserve,1
it has affected the economic productivity of those working in agriculture and fishing sectors,1
primarily due to the contamination of groundwater resulting from the chemical complex's waste. consequently,1
it shows the collapse and near disappearance of coastal oases and the decline in agricultural productivity,1
mass mortality of fish and animals. additionally,1
including a significant decrease in oxygen levels,1
we meet edward quintana,1
he is dancing in the best ballet theatres in europe. at the same time,1
syria. today,1
we follow the path of emmanuel jal,1
we follow the path of a renown photographer,1
reza deghati,1
form iran,1
who has been 38 years  in exile and has managed to make an incredible career. at the same time,1
we meet abdul saboor,1
who left afghanistan 4 years ago and is struggling to become aphotographer in paris,1
where he now lives.,1
"a refugee form south sudan who has become a famous singer in canada and abroad. emmanuel had to flee his country 28 years ago.
at he same time",1
born stateless in al yarmouk,1
in turkey,1
tara moneka form iraq,1
is trying,1
for the last 3 years,1
to keep the promising singer career she had started back in iraq in the famous program the voice,1
we follow the path of ahmad joudeh,1
a renoun dancer,1
but influenced by the mamluk and ottoman monuments such authentic markets,1
khans and religious places. it’s a journey of the past of this city through out some of its illustrative habitan,1
documentary film about the composer baligh hamdi,1
the druze wedding celebrations extend to seven days of preparation prior to the big day. on the special big day,1
whilst on their way,1
"they start to honk the horns in order to spread the wedding spirit among the people of the village.  
when they arrive at the groom's house",1
