topic,count
as rare appearance,1
the film further portrays two current greats of the sport,1
world and olympic champion haile gebresellasie and world renowned coach sintayehu eshete who respectively talk about the tradition behind the running sport in ethiopia,1
what training methods shape the current world stars and how the dream of making it to the top stays alive in each and every runner.,1
this film presents the story of the captive,1
maqdisi mahmoud issa,1
"who founded a band called ""the special unit""",1
which took upon itself the liberating the palestinian prisoners through capturing israeli soldiers then make a barter with palestinian prisoners. the film shows a set of military operations carried out by the special unit. it also talks about the band's attempt to escape from the prison ashkelon.,1
film and bayrem,1
touns is a research into the life of one of the symbols of the arab culture. the film shows the life,1
"tounsi young bayrem and that his writings disturb the king and the british authorities and exile first in tunisia and then in france and refugees live in france need to survive humiliation
  then culturally active in tunisia and egypt after his exile profoundly affect the poetic and theatrical and cinematic creativity back.
the film tries to give this unique character in a different language film captures the pulse of the singularly iconic life.",1
in wadi mazab,1
the home of abathiya in algeria,1
"covering an area of about 240 kilometres in approximately 72 hours. 

the message is clear: الصبر",1
the patience is provided as a fruit of the spirit in all our difficulties. each of us has his own force within. if you have a strong belief,1
far from the stereotypes of nearby modern,1
"the only dead man is the one whose name is no longer pronounced. she came to our house while my mother was on her deathbed and strong relationships developed between us. 
this word is threatened. in our family",1
colonialists,1
"have been replaced by the "" foreign technical advisors"" . this historical documentary",1
sheds the light on a forgotten part of the history,1
on its actors,1
their dreams,1
and their moments of failure…this story was rarely told.,1
in my family,1
one of the last guardians of the genealogy is my grandmother penda diogo sarr. she knows the heroic deeds of the ancestors and all the important names in the lineage. according to president and poet senghor,1
we are the second generation to read and write. who will carry on singing the praises of the lineage? in order to fight against the destruction of ancestors’ word,1
a solid faith,1
i decided to switch from oral tradition to a videotaped tradition.,1
in her new film,1
emtiaz diab takes us on a road trip through the hills,1
valleys and villages of palestine. her camera follows murad,1
the cinema,1
"lover who has made it his mission to bring palestinian cinema to palestinians in forgotten and marginal communities in the west bank.
while listening to the stories of the people murad meets with his mobile cinema",1
trekking from one venue to another in his green combi van,1
nūn wa zaytūn transports us to another palestine. we encounter a simpler rural life,1
the previous notable suitcase carriers and the rest of militants,1
"and the arrest of the president ben bella and his entourage such as muhammad harbi . the military regime became strong and asked the "" red feet"" to leave . thus",1
1965,1
then it ended abruptly with a violent coup d'etat led by the colonel houari boumediene in june 19,1
you can go beyond a mental limit. if an italian man is able to fast in summer crossing a desert under such extreme conditions,1
then everyone can make choices in his daily life to reach a goal that he believes he can achieve.,1
the film reveals details and secrets forced exile campaigns practiced by the french colonial authorities against thousands of algerian resistance to the french occupation during the period between 1870 and 1880 towards the island of new caledonia. they now make up the arab islamic community of about twenty thousand people,1
including nearly one,1
fifth of the island. the majority of these descendants of exiles from the second generation and even fourth is still mostly effect drinking the pain,1
suffering and bitterness of the origin and descent and loss of home and identity. this work will emerge through the historical narrative of the story of these exiles and injustices practiced by the occupier against the resistance and caused resistance fighters of torture and oppression and deportation,1
robbing them identity and of their memories.,1
in 1962,1
"the ""red feet"" celebrated the independence of algeria",1
"""red feet"" is the name given to the non algerian militants who came to support the independent algeria",1
"how many were they? from where did they come? what is the nature of their motivation and their political expectations ?
we will meet the trotskyists veterans",1
and then we 'll talk about those who later became members of the algerian political council,1
we will also meet the communists orthodox,1
"syndicalists and activists from the "" new left "" . the algerians were welcoming them with open arms",1
"they saw them as representatives of "" the real france"". after the fractures that resulted from the campaign of repression from which suffered the kabyle movement and the nationality law",1
which connects the right of algerian's citizenship  with islam,1
"the grace period for the ""red feet"" lasted for three years only",1
and it was increasing after the creation of the two olitical camps 8 and 14 march in lebanon,1
lack of services in the townships.,1
najaf,1
as the season like any season in which certain professions,1
the film shed lights on a peculiar and special wedding tradition in the comoros. it shows the social and economic effects of the grand wedding to the individual members of the community.,1
the film tells about san telmo neighborhood,1
the most important city in buenos aires,1
and the heart of the migratory movement and its backbone . through the typical characters of the neighborhood.,1
for people who contribute to moving some clues « electoral process » from behind the scenes,1
but do not have behind them bystanders in the political arena,1
without them can not spin the helm of the rivalry between feuding candidates on the seat of the egyptian parliament,1
dealing with the elections,1
such as ramadan season is active,1
known all over the world and in europe,1
and the feast,1
and the summer season,1
and season schools. are the owners of careers related to the elections,1
thrive during these elections such as : calligraphers .. and the owners and the owners of printing presses .. .. butterfly shops and offices advertising,1
authors of songs and propaganda,1
and alehtevh,1
"makers banners .
moderators of the elections as well as meet their rooms and special operations . and media committees to candidates and the offices of their own websites management",1
as naih candidates,1
particularly.,1
selecting models of young moroccans who became well,1
counterfeit sportswear,1
grandfather,1
some people started calling the place “derb ghallef valley,1
” as it became the hub of a creative new breed of it wizards.,1
