topic,count
the vanishing world of beach photographers of alexandria. the film moves between numbers of chapters,1
its heroes are the beach photographers and studios owners,1
to know about the history and the story behind this profession.,1
among the mountains,1
” once dubbed a miniature paris,1
"poverty and pain.  ""a livelihood from stone""  depicts the daily suffering of men",1
"whose people used to live in prosperity and wealth long years ago. we will go on an excursion to ""ahouli"" and mibladene in the moroccan atlas mountains",1
to have a closer look at the glorious past and painful present of men,1
and miners who have been living a tragedy following the departure of the french,1
and the shutdown of their mines which were the source of their wealth and well,1
being. they were left behind with just remnants of wealth,1
memories,1
diseases,1
in a region riddled with complex human relations.,1
social struggles and an identity in peril,1
thanks to the sultan bargash,1
and encourage young people to build a better morocco. casablanca calling is a portrait of three women and their mission to educate a nation in this quiet social revolution.,1
automatically lose their status of legal low community,1
and their right to financial support determined by the constitution and the code of indian laws. this new discrimination appears as an indirect way to divert them from changing their religion.,1
sedat is a social media consultant who is 35 years old,1
father of a three year old who lives in istanbul. he has a good earning and a comfortable life. however sedat starts questioning his life style,1
his consuming habits,1
the redundancy in his life that bothers him,1
the speed of the modern life and the things imposed upon him. he decides to meet people with different point of views living in different parts of turkey who share the same feelings with him who wants change their lives. thus sedat,1
wanting to create an alternative way for him self against the dominant power which forms modern society's way of thinking,1
enters a difficult course.  this film shows the difference he made in his life with the opinions he gained by meeting different people over the course of one year.,1
the film sheds the light on the efforts of the moroccan professor and researcher khaled sihouli in his fight against ovarian cancer at the charité hospital in berlin. it also tells an interesting dramatic story of an emigrant moroccan family: a few months after her arrival to germany the mother of dr. khaled sihouli had worked for almost a quarter of a century as a cleaning woman at the same hospital directed today by her son.,1
herein lies a mystery. how does a politician,1
asssassinated some fifty,1
five years ago,1
slowly become an icon ?,1
in morocco where 60% of woman have never been to school,1
a new generation of woman are working as official muslim leaders or morchidat. the morchidat work in some the poorest communities to separate the true teachings of islam from prejudice and misunderstanding,1
support girls education,1
dalits who convert to islam or christianity,1
"like islam and christianity.
but in india",1
the majority of dalits change their religion to convert to other religions,1
the military,1
that architecture,1
the “menoufians’ building” played a major role in supporting the sit,1
in through its six floors. each floor of this uncompleted building has its own important mission that day. furthermore,1
it stood still against the military attempts to storm the field,1
on the sit,1
"from al tayaran street. steadfastness and constancy reached the peak during the fall and destruction of the main deck to the field... the ""architecture"" is still resistant to the control of the security forces who ran amok and used against it and its people the utmost violence.. so",1
they,1
fired them with the jerinov shells,1
"is still ongoing to date.
to escape from the status of ""untouchables""",1
and the aircrafts surrounded their snipers,1
and the battalions of the special forces were well equipped to storm the architecture... until it fell in their hands after a severe trouble and strenuous attempts and excessive violence …,1
until this day,1
they still suffer from discrimination from high communities,1
in some cases,1
"they are subject to persecution and social violence and they are considered as ""untouchables""",1
this discrimination,1
campaign against early marriage,1
from algerian origins,1
military,1
abdelaziz thaalbi grew up in tunisia. he struggled against colonialism and fought against the prevailing ignorance and intellectual stagnation. he was imprisoned and abused. he traveled extensively in the midlle east where he left a lasting impression.. he was interest in humanity in general and muslims in particular. he was among the first leaders to warn against zionist danger in the 1930s.,1
and others lived in east beirut with christian majority. within the civil war that took place in the lebanese capital of beirut,1
the country was divided between muslims and christians. from its beginning in 1975,1
the film’s characters survived during the civil war and each one fought according to his religious or ideological beliefs. however,1
when the war stopped,1
these bikers left their weapons away to focus on their passion of motorcycles. this passion offered them the chance to get to know each other after 15 years of a bloody civil war.,1
a journey to explore the western desert in egypt,1
the journey starts from the baharya oasis through the desert going south towards ( elgelf elkabeer ) a few kilometres away from the egyptian sudanese borders,1
along this ride we stop to enjoy the beauty of nature at this place which is considered one of the most amazing and extraordinary places in the world,1
that people visit to militate and discover themselves.,1
touched by the subtle warmth of the orient which stirred their passion and illuminated their colors,1
and carries with it a tone of regret.,1
orientalism in art is a moment of encounter of the occidental self with the oriental’s and its reality. however,1
it is an encounter that engendered hundreds of drawings,1
sculptures,1
paintings and photographs that are widespread across europe today. touched by the subtle warmth of the orient which stirred their passion and illuminated their colors,1
“montenegro muslims” is a documentary film which looks at the ethnic and religious aspects related to montenegro's muslim population. through a depiction of the everyday lives of muslim citizens of this nation,1
the films reflects on past hardships this population went through from political,1
the country was divided and its people were separated. some lived in west beirut where the majority was muslims,1
when the lebanese civil war started,1
"it was a dream then becomes an idea to manuscripts and finally to reality. it is the details of a documentary.
 this documentary depends on looking on creators and innovated youth who are changing their dreams to reality in the helpless of their creation and inventions.
the film tries to travel with the viewers looking for the obstacles and success.
it is a journey to settat and marrakech cities where we will met figures of the documentary for one purpose which is discovering the inventions ... a car and a sophisticated bicycle.
it is hard to develop the ideas if we evoke the absence of the possibilities.
let us lead those people in the help of the specialists we will control their feeds and reactions of inventors youth.
we try to look for more answers for one fundamental question which is what are their needs forwards the absence of an unhelpful context.",1
and the civilizations that  were part of its history,1
this documentary introduces taha abdul rahman,1
a moroccan philosopher and one of the leaders in the arena of thought of modern arabic,1
and addresses the most important stages of his life,1
origins,1
scientific works,1
and outstanding philosophical project.,1
the documentary tells the story of the city of constantine. going through the whole history of the city since it was first established,1
like romans,1
most of which are modest to suit and the level of mountain and the life style of those who are living there despite the harshness of the conditions due to the altitude and the distance from the basic services for everyday life.,1
muslims,1
and the french. the most remarkable persons made a difference in its history,1
reaching the point in which constantine took place in the algerian revolution,1
leading to the independence,1
a one hour documentary that will take us to the interesting stone mountain range north of sultanate oman and specifically to the top of the sun mountain which rises 3009 meters above sea level,1
making it the highest peak in the arabian peninsula .people are living in this this mountain despite its hard natural conditions. they live from agriculture and grazing,1
in houses carved in the rock,1
in zanzibar,1
who brought to his court an egyptian orchestra. during centuries,1
"this building is known among the protesters as the "" menoufians’ building "".
during the sit",1
then his first trips to the sahara to satisfy his artistic passion,1
tahir bin ashour (sheikh of the great mosque,1
which targeted to silence any form of dissidence. some of them because of their own opposition to the regime and others due to their family links,1
a suffering that frustrated their own lives and the life of their families and kids and cancelled out the dream of a whole generation.,1
a documentary about  late algerian president chadli bendjedid,1
starting from algeria’s modern history and his role in  the revolution of the million martyrs to  his troubled relationships with former comrades  in arms ex,1
presidents “ahmad ben bellah” and “hawari bou medien”,1
mestiri (the state secretary of justice) and sheikh mohammed al,1
who became his fierce enemies. the documentary highlights the events that brought   bendjedid to power,1
starting from the moment he joined the liberation army in the late fifties of the twentieth century. the film will tell the story of the reign of bendjedid which began with a prosperous period followed by consecutive crisis that lead to the events of october 5th 1988. these events that paved the way for political changes and the birth of new political parties,1
the most prominent being the islamic salvation front. the film illustrates the dramatic decision to suspend the 1992 elections,1
bendjedid’s sudden resignation,1
and the following events that has entered algeria into a 10,1
year civil war labeled by algerian authorities as “war against terrorism”,1
also known as ‘the ten years of darkness’.,1
the story of alphonse etienne dinet,1
the french bourgeois painter who’d been fascinated by oriental lights and chose algerian sahara as his paintings’ main theme,1
then as his residence,1
zaytouna mosque),1
whilst sheikh mohammed abdul aziz jait (mufti of the tunisian diwan) stands behind him. the path paved for the call for the liberation of women perhaps began with tahir haddad,1
"but this achievement will be appropriated by bourguiba later on to make himself the liberator of women.

bourguiba’s story with women will start decades earlier",1
he managed to wage a war that became more and more hopeless. a master of partisan operations,1
who in 1832 displaced ottoman dominance and took power in western algeria,1
proved to be the most formidable of those who took up arms to resist the french conquest of algeria.  the emir’s project of establishing a muslim state of arab nationality clashed irreconcilably with the policy of the colonisers. after several years of confrontations,1
interspersed by two fruitless efforts to reach a compromise,1
an uncompromising conflict erupted in 1839 that lasted until 1847. the emir was,1
first and foremost,1
a remarkable trainer of troops. not discouraged,1
and yet lacking any external assistance,1
he was able to formulate remarkable plans that possessed the hallmark of a true strategist. remaining faithful to a generous and thoughtful reading of the quran,1
the film highlights the suffering and ordeal of libyan women activists at the hand of the gaddafi regime and his security apparatus,1
the emir was a dominant figure both on account of his humanity and his courage.,1
the suez canal film narrates in its two parts the history of the most famous waterway in the world.,1
at the beginning of the new millennium and with the best estimation,1
the number of chinese in egypt did not exceed 40 persons,1
they mostly and initially come for tourism or to study at al,1
"azhar.
in the scope of cultural exchange between egypt and china",1
china tried hard to find and explore new markets for their products all over the world,1
and finally his grave land .  starting from the prestigious neighborhood where dinet grew up,1
where he first met his algerian intimate friend who was the key of the great convert in his life,1
kader (1808,1
and where he settled finally in the charming oasis of boussaada,1
the first part of a series of crusades  which call the shock,1
tell the history of the invasion of western european to the arab world over successive historical stages,1
so as to clear the crusades as one of a series of consecutive field for european arab world,1
the film  is starting to talk about the motives that have led to the start of the crusades,1
both with regard to economic conditions,1
and the religious situation expansionist objectives papacy sieges rome against  the eastern church,1
and  arab and islamic world,1
the film then moves to another phase with the launch of the religious propaganda holy war to unite the ranks of the poor and obeid land insurgents and criminals under the banner of the warlords disputing to stop the war between them,1
and directing rival forces to achieve the project papal seizure in the islamic orient which brimming with honey and wine,1
but the ethics of combatants who wore the pilgrims and cross badges revealed tampering the religious propaganda,1
lies and lofty goals in the liberation of christ's tomb from the yoke of muslims,1
and uncover depravity and value of the lra,1
who decided to get closer to god with the blood of muslims,1
make a summary of the series of crusades,1
which consisting of four parts under headings 1,1
shock 2,1
awakening 3,1
and periods of his life through his most important explorations,1
where we learn about his birth conditions,1
"historic and geographic features of thoes areas at the same time 
this film gives us a glimpse on this arab traveller",1
children and grandchildren,1
which he immortalized in his works,1
and integrated into the local community defending their rights,1
and finally choosing it as his final rest .,1
the film offers everything that is historically and socially about al,1
twafaa through the stages of development and across the rites of the pilgrimage begins with al,1
haj from the moment of his arrival to the holy land and the film offers a comprehensive definition of al,1
"mutawiff 
 work is made all that surrounds them through a set of muttawifen assistants and muttawifen across three generations grandparents",1
nejmeh club is the most famous football team in lebanon. its team members belong to the different religious sects of lebanon and this has made it a symbol for national coexistence. its supporters who call themselves the great people of nejmeh are to be found all over lebanon. the story of this team presents lebanon in a very different light than the usually presented since 1945. this documentary the people of nejmeh presents how the team faced the challenges during the lebanese civil war and took a stand against all political attempts to control the team. this club is a miniature of the ideal lebanon that resists political and sectarian allegiance.,1
to make it the most important document on social ethnic,1
the universal traveller of arab origins hassan al wazzan,1
is better known in the west under the name of leo the african. he travelled in all parts of the maghreb and african countries,1
egypt,1
contantinople and the arabe countries. he setteled in italy in the xvi centuty where he was adopted and babtised by pope leo x,1
who changed his name. following the pope’s demand,1
leo the african wrote a discription of africa,1
soudan and the kingdoms of black africa,1
1883),1
the emir abd el,1
this music has evolved to become a popular art,1
"this programme"" old cafes""  contains different episodes from different countries",1
and re,1
arrange political priorities in morocco. a thinker and a political theorist,1
a union leader,1
a journalist and an excellent political system opponent..he would challenge anyone who dared touch the working class. he was several times beaten,1
tortured and jailed. he was sentenced to death,1
but was later pardoned. he many times experienced political imprisonment until at last in 1975 he was murdered in the middle of the street while on a visit to his mother in casablanca.,1
economic background family. his mother,1
café balima was established in 1932,1
and since then it became one of rabat's famous places,1
the daily place for artists,1
when he was born as the eighth child to a low socio,1
using the café for meeting,1
to some,1
the curiosity to have coffee and witness .demonstrations in front of the moroccan parliament,1
"""café france"" in marrakesh is one of those highly significant cafés in morocco. since 1915",1
established in one of the most popular squares in the world,1
jamaa el fna square. it offers its customers a panoramic view of this magic square,1
made politics,1
"""omar benjelloun"" is one of the most prominent political figures in modern moroccan history. he was an eminent politician who took the side of social popular classes as vibrant life forces. he was also able to shake the stagnant pool of ready",1
can through reading the past to predict the future and the development of the present,1
and so remained a french colong until today. two years ago,1
but the arab influence remained dominant. in zanzibar,1
the songs are sang in swahili,1
then tarab introduced women in its orchestras. women singers became,1
more numerous and gained fame comparable to men's and even surpassed them. tarab music in zanzibar is unique,1
because of the successful harmony between the different cultures in the island of zanzibar in the past and for centuries.,1
an island that is located in the archipelago of comoros in the inidan ocean,1
whose population rejected independence from france,1
this island became officially one of the overseas provinces of  france,1
it comes thoughts manifested as successors of fees and landfills and mather,1
