topic,count
maggi(89) and chunhee(70) have lived two wives of one man for 47 years.maggi lost sons by typhoon,1
one hour documentary focusing on halal food manufacturing in nyc that are moderated by arab immigrants in new york city,1
this will be through presenting two main stories,1
halal guys and king of falafel,1
besides other short stories on which we will focus on the humanitarian aspects,1
including  how they went through the industry phases from slaughtering,1
supplying,1
distributing,1
"cooking till they reach the marketing and selling phase.
also",1
we will observe how these carts have been officially endorsed by trade unions,1
as there are several unions representing halal food industry that issue authorized certificates.,1
in a country where the democracy of war became an absentee,1
where fear,1
terrorism,1
death and migration is a way of life,1
"iraqi dreams were postponed for further notice. ""deferred dreams”  documents the conditions of the iraqi people from all walks of life regardless of their ethnicity where security and stability merely a dream. education",1
future and other terms,1
which iraqis look up to in a daily basis became to be a mirage at the end of the road they reach out to it but it vanishes shooting them back to the reality of agony and frustration. iraq today is being swamped by corruption which deprives people from their rights so the youth is unemployed,1
and israel won’t control or humiliate them.  and the future will be for this nation.,1
the nation will wake up,1
"the horrors and the frustrations of the political reality of arab liberation movement. he made his destiny himself.
he passed away telling those around him that this period of the history of the arab nation will involve",1
judge ali al,1
three year old farah arrives from palestine to california in 2009 for treatment of injuries from an attack on gaza. farah is here without any family members and stays with her host mom amal jubran,1
for nine months. amal cares for farah through three surgeries and in the process becomes very attached to the child.  however farah has to return to gaza and amal is constantly worried about her safety. two years after farah leaves amal gets a chance to go visit her in gaza.,1
this film documents a new side of the life of palestinians under occupation. the film lives through the experiences of a number of palestinian prisoners with high sentences in israeli prisons. these prisoners defy their situations by smuggling their semen outside their prison cells to their wives. therefore,1
they can have children through ivf operations before it is too late for them to do so. the film tries to document the successes and failures and looks into the reasons,1
obstacles and dangers of these attempts. it also studies the effects of these steps on the prisoners,1
their families and the children born as a result of these operations.,1
biography of syrian writer,1
tantawi,1
hoor alhadeethah who exceeded the bitterness,1
one of the best islamic arabic teacher in the twentieth century. the film talks about his life and all of his achievements in the field of education and judiciary.,1
how did hassan al,1
"sharq start his artistic journey in his early childhood as an instinctive artist? how did he overcome his difficult economic circumstances through his passion for art? how could he invent his own colors? 
how did he move from being a local artist to become a  global artist? how could he show the egyptian and arab identity landmarks embodying them in the paintings exhibited in the largest museums in the world? this is what the film will shed light on while observing hassan al",1
sharq's life in his small village of zawyet sultan in the governorate of al,1
minya,1
in upper egypt.,1
the film tells the story of the military commander mash,1
imprisoned or dead. with this corruption the dreams of generation after another will be lost.,1
and brought in chunhee as the surrogate whose mental age is eight,1
a city which was allocated by the former ethiopian emperor to the rasta during their legendary reception to him in his visit to jamaica in the sixties of the twentieth century to become the land where the practical model of the idea of returning to africa adopted by the movement,1
years,1
any doctor or medical staff who treats the wounded individuals in the areas controlled by the opposition groups are viewed as criminals deserving punishment,1
not as doctors fulfilling their humanitarian and professional duties.  this authoritarian rule created by the regime put the doctors and field workers under harsh conditions. they found themselves under the threat of being arrested or killed,1
thus forcing them to work in field hospitals and be vulnerable to bombardment,1
killing and blockade,1
which targeted these hospitals with unprecedented brutality.  the film monitors hero stories and chilling pain suffered by this syrian segment of population. they are the liberal doctors,1
the rebellious angels.,1
five episodes in which their heroes tells the history of the most important places,1
memories  and how that effected the egyptian society over the past years and its impact on human and the nature of the place resulting in a complete change in the story or the egyptian tale.,1
"the idea of this film depends on exploring and documenting the genius of the arab writer abbas mahmoud el akkad. by tracking the manifestations of rebellion in his life.
where we see his creations",1
intellectual and political positions,1
within the framework of the battles associated to it,1
and which he fought throughout all his life.,1
the film tells about the rastafarian movement,1
which was founded on a mixture of celestial religious beliefs and calls for the liberation of african,1
not only of european colonial in its direct political face,1
but exceeded that to the establishment of a political faith based on religious arguments aimed at the adoption of the idea of returning to africa as the home of the african returnees and the place of religions decent and inspirer of the liberation feelings with dimensions that go beyond the traditional arguments of anti,1
"colonialism.
we live with rasta in shashamene in the state of ethiopia",1
the scenario is much more than this. in the eyes of the regime,1
whether civilian or militant. the regime doesn't acknowledge his right to treatment. in fact,1
a wounded person is under suspicion,1
historians and singers from various arab countries.,1
old. chunhee birthed two sons,1
and their husband died 37 years ago. their children who's grown up and left are not willing or afford to support them. maggi and chunhee still live together because maggi must take care of chunhee like a baby. maggi is getting older and weaker,1
"and worried ""what's gonna happen to chunhee if i die?"". she starts teaching chunhee how to live by herself.",1
the film talks about the eulogist (almadih) and how started from the time of prophet  mohammad (peace upon him) until now,1
based on the love of people to him. the film shows the different types of  eulogist (madih arts),1
from different countries,1
and how  that reflect the love of  prophet mohammad  (peace be  upon him)  at the poems of madih. the sentimental feeling will be the main core which motivates the film. the film will include interviews with specialists,1
"a documentary film displays targeting the journalists in somalia and killing them during  performing their mission.the film focused on political and security  conditions in which the journalists work such as continuous threats and extortion. also the film show the sufferance of journalism mission and the high cost they pay that reach sometimes to death.
         the film tells the story of the journalism work suffering in somalia that reach sometimes to death or performing  their mission under  critical  dangerous situations and during a  civil war  continued   to  quarter  century",1
for the syrian regime,1
eid al,1
"adha is a significant annual islamic observance for many muslims around the world.. it is also known as the feast of sacrifice or festival of sacrifice as it commemorates ibrahim’s (abraham) willingness to sacrifice his son to god.
this film makes into evidence the celebration of this important event in morocco. it traces all the rituals   and traditions from the early morning till the 3 days after. it follows characters from the north and south of morocco when  they gather for special prayer services",1
when they sacrifice the lambs as an act of thanksgiving for god’s mercy and when they visit family and friends,1
through this film we will focus on the noble principles and values that characterize islam such as   forgiveness,1
compassion,1
exchange greetings and gifts,1
and make donations to the poor and needy.,1
be the change you want,1
so she thought the six,1
old girl,1
"and creating unique decor at his house in
 sarba",1
we all transform every detail,1
happy or sad into entertaining material. we communicate through its wording with others.,1
a journey through the cultural and social history,1
to learn about the beauty of the human standards in different civilizations. have the standards of beauty changed,1
or the man himself has become more beautiful?,1
in previous unusually,1
farmers in algeria racing to exploit the desert and its oases in agricultural production in an effort to develop agriculture,1
which has become a desert gives breathtaking results. as a sign of the challenge in those areas occupied by one of the desert states ranked first nationally in potato production and has even export operations on a large scale,1
by the well,1
known green their environment and climate rainy northern areas,1
where traditional dams and groundwater which are not interrupted.,1
the movie reviews the journey of yara who goes to the village of “khan pokhara” in nepal to get to know closely the adventure of finding the honey of the himalayan mountains and specifically the “groum” tribe,1
where farmers have suffered many hardships and great risk that can reach the point of death sometimes. death is not from sting of bees,1
but from falling during the harvest process from the high,1
rise places where the bees build their hives. the film shows the strength of will,1
determination and courage in front of the risks in order to improve their living and maintain the traditions of the tribe.,1
"this is an artistic documentary displaying the experience of the young lebanese
 artist alan bourgi who combined the art of playing instruments",1
the arab tribal community was first introduced to the art of retelling ages ago. the topics were then rich with historical events and miths related to the known values at this time. retelling played a big role in our lives,1
a life full of major transformations since he was born as a poor child in his village in 1918 and up to his dramatic death when he was assassinated in october 1981 while celebrating the military victory he had achieved in 1973. this life is fit for a tragic hero which was concurrent with and effective in major turning points egypt witnessed during the same period.,1
the film shows the life of the egyptian president muhammad anwar assadat,1
raghad makhlouf,1
where there is a strong muslim faith that refuses the wizards beliefs,1
and it’s where an association was established to help the albino’s community.,1
the life of three syrian artists living in lebanon,1
"through their work in the dubbing of turkish soaps that has invaded the arab world.
where do they come from",1
where she would meet a group of moroccan and arab artists. her stay in france did not last long,1
and to where they shall continue their exile with all their contradictions,1
"culture and political differences?
orwa kulthoum",1
and khaled omrane know each other since their studying in damascus at the higher institute of art. they live now in lebanon…three stories,1
the pain and the crisis they are going through that has become particularly long and complex ... when is the return? and you will it be possible after all this absence? ... is exile their destiny or will they be deported back to other cities of the cold west?,1
related to art,1
displacement,1
nostalgia,1
"and the uncertainty of return to motherland…and words unspoken.
they were friends in damascus",1
and they met again in lebanon. but what brings them together is not only the studio for dubbing,1
but above all their exile as syrian artists that were forced to flee from their country. what brings them together is not only the city of beirut,1
in which they try  to cope with difficult of life far from their families and  country. what brings them together is the theme,1
"building them
 with magnificent design",1
jounieh. alan,1
because she seen a disadvantage child wasnot able to play,1
the artist,1
"2013 season.

the film",1
shot in bolton,1
wigan and the greater manchester area,1
offers an overview of ali’s career as well as a glimpse into his everyday life,1
driving his daughters to school,1
attending the mosque for prayer,1
entertaining with  friends at home and meeting with fellow omani expats at a restaurant. it’s an intimate portrait of one of the best,1
loved arab players in the uk.,1
but that did not prevent her from raising the word of truth. she was forced to leave morocco for paris,1
the beginnings of yaya,1
touré in football was in mimosifcom academy (ivory coast),1
when he dreamt of one day playing for barça. the coach,1
jean marc guillou was the first person to realise that yaya,1
"touré could become an had the ability to achieve  a successful career 

in 1999",1
at 17 years old,1
he travelled to europe and signed for a belgian club (ksk beveren). yaya,1
touré confesses that those years were very hard for him,1
where he established himself as an outstanding penalty saver. ali helped wigan win the fa cup in the 2012,1
2010) and then for wigan athletic,1
"and played three seasons for them. he was the first omani to play international football in europe and was voted ""norwegian goalkeeper of the year"" in 2004.

in 2006 he moved to the uk to play in the premier league for bolton wanderers (2006",1
habsi began playing in his native country,1
"is highly skillful in smoothly playing a great
number of roughly made eastern and western instruments. for this reason",1
"he is
 continuously searching for old instruments",1
that can't be used anymore,1
"and
 transforms them into rejuvenated instruments playing beautiful tunes. he is also
 very creative in designing and decorating rooms of his faytroun village house
 with cowboy style. his sarba house has each room designed differently relative
 to the instrument played in each room.  what matters the most in this film is the
 visual and musical formula that we will discover by which alan bourgi as
 ""orchestra man"".",1
in this film we're going to discover the archive of hirokawa,1
to know his character through his archive job and photographs. he has been associated with the palestinian issue since 67. we will talk about him growing up and his life and the beginning of his relationship with the palestinian issue and the changing points which effected on his life. in this film we will follow hirokawa to the places he used to document the most important periods of the palestinian society as a professional photographer from japan..,1
goalkeeper al,1
oman,1
habsi signed to a norwegian club (lyn osdlo),1
at the age of seventeen,1
and joined the ranks of the oman national under,1
19s squad,1
before he was spotted by john burridge in 2001,1
"at the time he was working as a fireman at muscat airport. 
 
after playing a season at al",1
nasr (dubai),1
in 2003 ali al,1
some fled to the island of zanzibar,1
hunting with no mercy. around 75 persons have been killed since 2000 and more than 150 were mutilated,1
the miners and the great lakes fishermen in the region have embarked on hunting persons with albinism,1
against huge amount of money,1
through arts and music educational programs to attract hundreds of kids. the organization succeeded in giving educational,1
artistic and financial support for thousands of children.,1
uganda suffers from a wide unemployment so they formed an organization for youth works in developing and improving the skills. the organization handles awareness campaigns for health problems and supporting environment.,1
she has a magical smile. the socialist,1
who lost her husband and number of her kids in the genocidal,1
decided to form a rwandan community with no religion and racial discrimination. she formed a generation don’t believe in the tribal through the marriage between different tribal. the rwandan president honored her for her efforts,1
but her real honor was the rwandan families admitting her favor in the new community.,1
when she became a significant lawyer in the kenyan society,1
she didn’t forget her poor origins. when she got a chance,1
she directed all her efforts to serve the poor classes in the community. jane’s organization gave different financial support through loans and business development services. also they build compounds with thousands of departments to serve thousands of kenyan poor families. she also leads marches to demand women’s voting right and ending violence against women. she offers educational and health service to the kids from poor families.,1
through his tour guide career,1
he decided to change the tourism activities in kenya. despite going to the natural reserves and mountains,1
they can visit the poor villages and rural areas as well. he educates the people the handcrafts and dancing skills to help them in developing the villages. he decided to form an organization to sell the products and by its profits he established with the foreigners’ assistance a hospital to serve more than 75 villages and care for thousands of sick people. peter became one of the successful models in africa whose experience was widely transported through africa.,1
"turkish­greek population exchange in which 2 million people are replaced.   

programme synopsis (detailed):

turkish­greek population exchange in which 2 million people are replaced.    there hasn’t been another migration like this in the world history.    

for the first time in the world history",1
the only criterion had been “religion” at the compulsory migration agreement signed with an international convention and no one had been asked so as to “will you go,1
