topic,count
fassi. the personality who founded the nationalist istiqlal party which was a driving force in the moroccan struggle for independence from french colonial rule. he broke with the party in the mid,1
1950s,1
siding with armed revolutionaries and urban guerrillas who waged a violent campaign against french rule,1
whereas most the nationalist mainstream preferred a diplomatic solution. in 1956,1
as morocco gained independence,1
he reentered the party,1
and famously presented his case for reclaiming territories that have once been moroccan in the newspaper al,1
alam.  .in addition to his life and his political and philosophical thoughts,1
the film focus on the most important events related to moroccan history.,1
“immigrant stories” is a series of 15 fillers about muslim immigrants in north america. human stories of discrimination,1
exile,1
identity,1
innovation and the constant illusion of return to the original countries they left behind. the series explores also what people become in countries of immigration,1
the influence of democracy on these new citizens who have so much to say but who are hardly heard in the western media. the double standard for immigrants in these so,1
called countries of human rights where being an immigrant often rimes with discrimination and second class citizenships,1
this documentary is based on the story of  bodyguards,1
stealing the history and changing the character of the place.,1
aqsa mosque and the continuing attempts to judaize jerusalem by building synagogues,1
shedding the light on the problem of living without a nationality,1
during crises and catastrophes. the scouting movement in egypt raises the individuals,1
especially young people,1
on good morals and instills values in them.,1
palestinian scout is one of the oldest scout movements . it has a long history of anti,1
colonial struggle and hard work,1
in support of the palestinian people 's cause throughout their long suffering and great plight..,1
this film is a journey into the life of the abou eid tribe living in the bekaa valley of lebanon,1
and their perception of surviving as a marginalized stateless group in lebanon. their long history as nomads and then their settlement,1
without a proper identity,1
ahead of many of its counterparts in the arab states. the rise of the scouts movement in yemen represents a decisive turning point in the yemeni society and thus a source of its pride and glory,1
and the consequences of such a life that affects their freedom,1
work opportunities,1
social security and economy,1
leaving them as a marginalized community struggling for survival.,1
"""the rooftops"" movie describes the variety  of  residents of  roof  buildings in cairo",1
and how this type of  housing combines different categories of people,1
rich and poor,1
citizens and foreigners,1
scouting in egypt is one of the oldest movements in the arab region. it has always been supporting the society in its struggles and wars throughout its long history. it stood up for its society in times of war and peace,1
the yemeni scout movement started early in the last century,1
"the islamic algerian scout considers one of the leading arab scouts both in terms of     origination or the historical conditions surrounded this origination
it faced a bloody struggle to free algeria from the french colonizer who seized it throughout 100 year",1
who had returned from exile,1
"the martyr mohamed bouras
it played a pivotal role in preparing the algerian people for the revolution against the french occupation",1
as many of leaders of the revolution were sons of the algerian scout,1
and people fought an epic of redemption presented 1.5 martyrs,1
then algeria got its independence after it,1
and then the islamic algerian scout continues the national tender epics in various spheres of life,1
it was destined for the birth of scouting in libya to coincide with the time when the state of libya gained its independence. destiny played a major role in establishing the libyan scout movement at the hands of ali khalifa el,1
zaidi,1
one of libya's sons,1
"to help it flourish under the senussi regime where  libyan  scouts made enormous social contributions to the arab region and the world
unfortunately",1
rooted civilization,1
the libyan monarchy was abolished through a coup d'état led by colonel muammar gaddafi,1
leaving the scout movement to suffer marginalization and attempts of exclusion from the libyan social life,1
and to engage in a 24,1
year battle of survival under gaddafi's rule,1
the scouts movement in kuwait has showed valor and strength while standing by the kuwaiti society during its crises. since its beginning,1
"the kuwaiti scouts' members have been raised on abiding by scouts' laws and keeping its oath. they remained faithful to god and country. 
the kuwaiti scouting is a movement of a very long history  in a highly dynamic society. it has never forgotten its society through thick and thin. in this film",1
we will know about the long past and great present of the kuwaiti scouts movement and its achievements,1
the arab scout movement  (yemen) on the soil of a deep,1
artists and craftsmen,1
the film narrates the life style of all these people.,1
the arab world has been witnessing uprisings of a large part of society,1
which beomes a dream factory,1
the film portrays the importance of arab heritage in the culture and idiosyncrasies of contemporary spain through the visit and discovery of the cities that once were part of al andalus territory. using as leitmotiv the traces of arab culture in the kingdom of spain,1
arabic spain tells us,1
through the blend of history,1
monuments and many other cultural aspects,1
the rich arabic heritage that can still be found in the spanish society and in it best,1
known and representative symbols.,1
the film makes in to evidence the mythical diversity of landscapes,1
history and culture of ouarzazate,1
at the door of the desert... we discover authenticity,1
namely the youth who are now,1
high variety of landscape and very rich heritage. both hot and  tempered climatically,1
ouarzazate is one of the few cities in the world that is endowed with nature,1
which also offers a light of an exceptional quality,1
ouarzazate is becoming these last years one of the privileged sites where international directors and producers like to shoot films.,1
one morning of december 1975,1
they awoke on a political dispute broke out between morocco their homeland and algeria their country of residence,1
they stayed here all their age,1
participated the algerian people's,1
literature and science huge progress caused by basra. ending by the way things ended up for basra now after the wars that it had to face,1
